,Actual,Predicted
277,-0.4296936094760895,-0.3926495313644409
278,-0.41575539112091064,-0.3968331217765808
279,-0.3922843933105469,-0.3994626998901367
280,-0.40656140446662903,-0.4139108955860138
281,-0.3989810347557068,-0.4035108685493469
282,-0.31510406732559204,-0.4013504981994629
283,-0.39533206820487976,-0.40855520963668823
284,-0.4185243844985962,-0.40786221623420715
285,-0.41378381848335266,-0.4188566505908966
286,-0.400922954082489,-0.4133751392364502
287,-0.42342567443847656,-0.41984477639198303
288,-0.3887428343296051,-0.41903892159461975
289,-0.421010285615921,-0.409773588180542
290,-0.4235420823097229,-0.41492360830307007
291,-0.40411436557769775,-0.41398999094963074
292,-0.4138929545879364,-0.41351115703582764
293,-0.40492644906044006,-0.409168541431427
294,-0.41227999329566956,-0.42082905769348145
295,-0.42294731736183167,-0.4045816957950592
296,-0.4296936094760895,-0.40835824608802795
297,-0.41575539112091064,-0.4162601828575134
298,-0.3922843933105469,-0.41911330819129944
299,-0.4207363426685333,-0.41302627325057983
300,-0.3989810347557068,-0.39682942628860474
301,-0.31510406732559204,-0.39197036623954773
302,-0.39533206820487976,-0.3989834189414978
303,-0.4185243844985962,-0.39889511466026306
304,-0.41378381848335266,-0.40446415543556213
305,-0.400922954082489,-0.40064552426338196
306,-0.42342567443847656,-0.4059009253978729
307,-0.3887428343296051,-0.4045809805393219
308,-0.421010285615921,-0.3998163640499115
309,-0.4235420823097229,-0.4025298058986664
310,-0.40411436557769775,-0.40169718861579895
311,-0.4138929545879364,-0.4013504087924957
312,-0.40492644906044006,-0.3986290991306305
313,-0.41227999329566956,-0.4065450131893158
314,-0.42294731736183167,-0.3957242965698242
315,-0.4296936094760895,-0.3999442756175995
316,-0.41575539112091064,-0.4024905860424042
317,-0.3922843933105469,-0.40505149960517883
318,-0.4207363426685333,-0.4008973240852356
319,-0.4426710605621338,-0.4030417501926422
320,-0.31510406732559204,-0.39933648705482483
321,-0.39533206820487976,-0.40270301699638367
322,-0.4185243844985962,-0.4021376073360443
323,-0.41378381848335266,-0.4090149998664856
324,-0.400922954082489,-0.4069748818874359
325,-0.42342567443847656,-0.40954527258872986
326,-0.3887428343296051,-0.4089607298374176
327,-0.421010285615921,-0.4038121998310089
328,-0.4235420823097229,-0.4063548445701599
329,-0.40411436557769775,-0.40579918026924133
330,-0.4138929545879364,-0.40608248114585876
331,-0.40492644906044006,-0.4039192199707031
332,-0.41227999329566956,-0.40978506207466125
333,-0.42294731736183167,-0.40039148926734924
334,-0.4296936094760895,-0.4028570353984833
335,-0.41575539112091064,-0.4078544080257416
336,-0.3922843933105469,-0.4087584912776947
337,-0.4207363426685333,-0.40622830390930176
338,-0.4426710605621338,-0.408348947763443
339,-0.40485116839408875,-0.40507906675338745
340,-0.39533206820487976,-0.390627920627594
341,-0.4185243844985962,-0.39098596572875977
342,-0.41378381848335266,-0.4033181667327881
343,-0.400922954082489,-0.39510154724121094
344,-0.42342567443847656,-0.4055251479148865
345,-0.3887428343296051,-0.40413087606430054
346,-0.421010285615921,-0.393687903881073
347,-0.4235420823097229,-0.39974433183670044
